no_of_bedrooms,no_of_bathrooms,flat_area_in_sqft,lot_area_in_sqft,no_of_floors,waterfront_view,condition_of_the_house,overall_grade,area_of_the_house_from_basement_in_sqft,basement_area_in_sqft,age_of_house_in_years,zipcode,latitude,longitude,living_area_after_renovation_in_sqft,lot_area_after_renovation_in_sqft,does_basement_exist
5,5.25,5090.0,23669.0,2.0,no,fair,10,5090.0,0,12,98004,47.6297,-122.216,3830.0,22605,0
3,2.5,2620.0,8403.0,2.0,no,fair,8,2620.0,0,27,98038,47.3675,-122.042,2190.0,7842,0
4,1.5,1800.0,10150.0,1.5,no,good,7,1800.0,0,60,98034,47.7325,-122.242,1630.0,10660,0
3,1.5,1060.0,7488.0,1.0,no,excellent,7,1060.0,0,41,98106,47.5549,-122.356,1300.0,6780,0
4,2.5,2270.0,11500.0,1.0,no,fair,8,1540.0,730,51,98034,47.7089,-122.241,2020.0,10918,1
5,2.75,1650.0,5453.0,1.0,no,fair,7,1650.0,0,48,98118,47.5293,-122.285,1670.0,5885,0
4,2.0,1640.0,5000.0,2.0,no,fair,7,1640.0,0,111,98107,47.6662,-122.365,1240.0,5000,0
3,1.0,1400.0,9690.0,1.0,no,fair,7,1400.0,0,49,98023,47.3201,-122.398,1280.0,9600,0
2,2.0,1250.0,1178.0,2.0,no,fair,7,980.0,270,22,98136,47.5426,-122.387,1270.0,1242,1
4,2.0,1960.0,10559.0,2.0,no,good,7,1960.0,0,63,98133,47.7494,-122.337,1580.0,7769,0
3,2.5,2250.0,7752.0,2.0,no,good,8,2250.0,0,30,98011,47.7489,-122.185,2080.0,7033,0
2,2.25,1230.0,989.0,3.0,no,fair,8,1230.0,0,11,98103,47.6975,-122.348,1230.0,1223,0
4,2.25,1610.0,3560.0,2.0,no,fair,7,1610.0,0,8,98038,47.3669,-122.02,1760.0,3692,0
3,2.5,1600.0,2244.0,2.0,no,fair,7,1600.0,0,13,98056,47.4899,-122.164,1600.0,1700,0
3,1.0,940.0,7910.0,1.0,no,good,6,940.0,0,59,98008,47.6181,-122.117,1000.0,7700,0
4,1.75,2500.0,20868.0,1.0,no,fair,8,1600.0,900,62,98166,47.431,-122.338,2170.0,15026,1
3,1.75,1560.0,5760.0,1.0,no,excellent,6,780.0,780,91,98106,47.5272,-122.359,1320.0,7680,1
5,2.75,2790.0,20824.0,1.0,no,fair,9,1680.0,1110,59,98115,47.6948,-122.282,2380.0,10465,1
2,1.0,1000.0,3700.0,1.0,no,fair,6,800.0,200,89,98118,47.552,-122.29,1270.0,5000,1
4,1.0,1430.0,8400.0,1.0,no,fair,6,730.0,700,49,98072,47.7417,-122.172,1310.0,8240,1
4,2.25,3240.0,12930.0,2.0,no,good,9,2730.0,510,50,98040,47.5373,-122.22,2610.0,12884,1
3,1.75,1260.0,9600.0,1.0,no,good,7,1260.0,0,30,98042,47.3592,-122.076,1640.0,9946,0
4,2.5,2390.0,9638.0,2.0,no,fair,10,2390.0,0,30,98029,47.5598,-122.018,2630.0,9258,0
6,3.0,2530.0,9000.0,1.0,no,fair,6,2530.0,0,40,98033,47.6716,-122.199,1886.0,6000,0
4,2.0,1190.0,7877.0,1.5,no,excellent,7,1190.0,0,72,98155,47.7538,-122.322,1480.0,9975,0
4,2.5,2340.0,8548.0,2.0,no,fair,8,2340.0,0,25,98031,47.4206,-122.183,1970.0,6818,0
4,4.0,7850.0,89651.0,2.0,no,fair,10,7850.0,0,12,98027,47.5406,-121.982,6210.0,95832,0
4,2.5,3090.0,12511.0,2.0,no,good,10,3090.0,0,20,98075,47.5932,-121.983,3100.0,10882,0
5,3.5,3210.0,4060.0,2.0,no,fair,10,2290.0,920,101,98117,47.6801,-122.357,1940.0,5000,1
3,2.5,1780.0,4650.0,2.0,no,fair,7,1780.0,0,7,98038,47.386,-122.047,3050.0,3848,0
4,1.75,1760.0,7268.0,1.0,no,good,7,1080.0,680,39,98058,47.4267,-122.148,1830.0,8786,1
3,2.0,1350.0,11150.0,1.0,no,fair,7,1110.0,240,23,98045,47.44600000000001,-121.776,1290.0,10043,1
3,1.0,1010.0,5864.0,1.0,no,fair,7,1010.0,0,103,98116,47.5733,-122.381,1290.0,5000,0
3,1.75,1980.0,12543.0,1.0,no,fair,8,1180.0,800,40,98023,47.3104,-122.394,2090.0,8539,1
3,2.25,2210.0,22040.0,1.0,no,excellent,8,1510.0,700,42,98004,47.5904,-122.194,2470.0,14258,1
5,4.0,3460.0,5400.0,2.0,no,fair,10,2830.0,630,6,98056,47.5201,-122.204,1890.0,5400,1
